OBJECTID,ZN,EAST,NORTH,CEAST,CNORTH,KMSQ,STATION,IDO,HA,ID_STRING,ID,SHAPE_AREA,SHAPE_LEN
16,0,222900,851850,216598,849325,70.905,4010,4010,4,4010,4010,70905312.5,62796.98231
17,0,323700,841550,323101,838780,15.842,8017,8017,8,8017,8017,15842187.5,21464.39213
18,0,316150,817500,311356,807352,208.225,8018,8018,8,8018,8018,208225000,99681.83259
19,0,231550,828750,218689,822301,280.443,5004,5004,5,5004,5004,280443125,123461.3744
20,0,233000,839650,217749,839969,253.891,5802,5802,5,5802,5802,253890625,108786.5007
21,0,263850,841050,233699,812590,1803.875,6001,6001,6,6001,6001,1803874375,372675.2921
22,0,241600,817000,221415,812368,398.453,6003,6003,6,6003,6003,398453437.5,148868.0501
23,0,231600,801100,210381,800896,396.857,6004,6004,6,6004,6004,396857187.5,164445.0054
25,0,249150,892150,240494,888016,237.145,3002,3002,3,3002,3002,237144687.5,115712.7723
24,0,255350,916750,252584,923205,62.388,3803,3803,3,3803,3803,62388125,57958.07358
26,0,240300,900150,231272,901365,331.668,3003,3003,3,3003,3003,331667812.5,143514.8539
27,0,247150,902150,239146,914664,187.789,3004,3004,3,3004,3004,187789375,107943.355
28,0,257400,897400,249917,918183,580.198,3005,3005,3,3005,3005,580198125,190282.5469
29,0,335500,839950,333493,834447,43.845,8015,8015,8,8015,8015,43844687.5,53846.37264
30,0,317550,819100,321401,816073,40.703,8016,8016,8,8016,8016,40703437.5,34639.26586
31,0,248150,854650,228079,862724,962.456,4001,4001,4,4001,4001,962456250,263930.5699
32,0,256650,867250,248676,871477,106.314,4002,4002,4,4002,4002,106314375,66003.65799
33,0,265450,869600,253145,877495,202.367,4003,4003,4,4003,4003,202366562.5,104547.0869
1,0,245500,856300,235671,871467,322.821,4004,4004,4,4004,4004,322820625,149719.448
2,0,228650,852800,220288,850359,123.663,4005,4005,4,4005,4005,123663437.5,86603.22689
3,0,220450,860200,212722,856679,117.546,4006,4006,4,4006,4006,117545625,75663.45597
4,0,239550,861700,234467,873162,278.539,4007,4007,4,4007,4007,278538750,131793.1024
5,0,270250,865200,266131,861789,36.422,4008,4008,4,4008,4008,36422187.5,36520.02705
6,0,249300,858700,247710,860516,15.938,4009,4009,4,4009,4009,15938437.5,31205.81349
7,0,326200,954900,321620,952222,158.183,1001,1001,1,1001,1001,158183125,82737.97257
8,0,299850,918150,284344,929781,553.233,2001,2001,2,2001,2001,553232812.5,172858.7139
9,0,289150,903900,274454,916267,423.48,2002,2002,2,2002,2002,423479687.5,142765.4635
10,0,258050,906150,248732,920864,485.962,3001,3001,3,3001,3001,485961562.5,169878.8149
11,0,242600,840500,220997,831821,857.492,5001,5001,5,5001,5001,857491562.5,209694.7529
12,0,239050,840450,220822,840016,307.673,5002,5002,5,5002,5002,307673125,126407.821
13,0,235450,832100,218800,825822,487.693,5003,5003,5,5003,5003,487693437.5,145568.0501
14,0,220300,851000,215714,848574,58.357,4011,4011,4,4011,4011,58357187.5,55477.74349
15,0,231450,910100,232274,914398,44.339,3006,3006,3,3006,3006,44339375,38168.98628
42,0,303950,855850,303990,850878,28.3,7009,7009,7,7009,7009,28300000,32522.53967
43,0,313450,848900,310984,845327,20.619,7006,7006,7,7006,7006,20618750,27203.30086
44,0,363950,741850,361415,744966,44.202,13010,13010,13,13010,13010,44201875,35405.38239
45,0,360950,746650,358684,746267,8.414,13017,13017,13,13017,13017,8414375,14052.69119
46,0,320150,829000,324551,823501,102.778,8011,8011,8,8011,8011,102777812.5,58021.24638
47,0,285000,804700,286401,794014,229.632,8013,8013,8,8013,8013,229631562.5,99128.71029
48,0,237700,816900,234736,819854,26.161,6006,6006,6,6006,6006,26160625,34149.74747
49,0,264500,842750,234149,812963,1830.742,6007,6007,6,6007,6007,1830741875,382813.7698
50,0,245050,829950,238424,828131,107.015,6008,6008,6,6008,6008,107015312.5,76412.05807
51,0,240200,817450,221077,812270,391.61,6009,6009,6,6009,6009,391610312.5,145309.4715
52,0,229000,800700,209214,800696,373.282,6010,6010,6,6010,6010,373282187.5,157972.2132
53,0,238000,807450,241443,801699,75.641,6011,6011,6,6011,6011,75641250,66923.75901
54,0,239200,830150,235816,827204,56.202,6012,6012,6,6012,6012,56201562.5,63739.26586
55,0,267750,845250,269139,842041,9.224,6013,6013,6,6013,6013,9223750,20517.51442
56,0,234750,807350,233072,807485,2.497,6808,6808,6,6808,6808,2496875,11157.71645
57,0,221800,812900,221387,815731,11.175,6809,6809,6,6809,6809,11175000,21261.8795
58,0,282550,833550,273216,821453,415.591,7001,7001,7,7001,7001,415590625,172347.8751
59,0,301850,858400,284035,830207,781.768,7002,7002,7,7002,7002,781768125,275730.5699
60,0,319400,862650,314503,853472,216.655,7003,7003,7,7003,7003,216655312.5,99928.71029
61,0,288250,855050,273723,837368,304.949,7004,7004,7,7004,7004,304948750,178083.0519
62,0,300550,848000,301694,839868,164.628,7005,7005,7,7005,7005,164628437.5,89431.65402
63,0,303650,858200,304602,853080,48.974,7804,7804,7,7804,7804,48973750,52321.67748
64,0,327800,844000,292140,810489,2645.632,8001,8001,8,8001,8001,2645631875,454261.6449
65,0,288100,808200,270711,793741,1008.908,8002,8002,8,8002,8002,1008907500,259313.4126
66,0,275900,799650,260812,793215,532.246,8003,8003,8,8003,8003,532245937.5,188022.3178
67,0,318500,835200,316610,817591,540.751,8004,8004,8,8004,8004,540751250,174297.6226
68,0,294700,819200,275073,796806,1261.306,8005,8005,8,8005,8005,1261305625,298053.1096
69,0,331850,851800,294880,812741,2852.402,8006,8006,8,8006,8006,2852401563,482726.037
70,0,268750,796400,258195,791356,401.733,8007,8007,8,8007,8007,401732500,184397.6226
71,0,278900,799650,276491,786794,131.613,8008,8008,8,8008,8008,131613125,88068.48122
72,0,297700,824750,285087,819396,272.203,8009,8009,8,8009,8009,272202500,126401.0714
73,0,303300,826800,279940,802927,1745.853,8010,8010,8,8010,8010,1745852500,341381.8939
74,0,337850,829100,338071,824955,68.069,9005,9005,9,9005,9005,68068750,43693.25035
75,0,350400,866650,350148,861899,47.128,9006,9006,9,9006,9006,47128437.5,37463.52993
34,0,297950,857100,291350,847700,80.68,7010,7010,7,7010,7010,80680312.5,62799.92604
35,0,314450,857500,309709,854047,36.373,7011,7011,7,7011,7011,36373437.5,37822.10858
36,0,344050,722400,337569,721737,58.305,14005,14005,14,14005,14005,58305000,54936.75324
37,0,357400,736100,351295,739022,17.125,14006,14006,14,14006,14006,17125312.5,35637.18434
38,0,316150,817050,309430,810423,48.454,8019,8019,8,8019,8019,48453750,55130.86579
39,0,315500,858150,310542,854335,43.182,7007,7007,7,7007,7007,43181875,42514.5707
40,0,268550,835150,266440,828764,128.052,7008,7008,7,7008,7008,128051562.5,98356.78028
41,0,337250,765350,330886,774469,130.636,13012,13012,13,13012,13012,130635625,84235.02884
86,0,327500,755850,325842,762805,41.922,15005,15005,15,15005,15005,41921562.5,49220.02705
87,0,301950,714650,302709,711766,11.997,16006,16006,16,16006,16006,11997187.5,23520.88924
94,0,362700,846950,359794,841394,87.728,9007,9007,9,9007,9007,87728125,48609.54544
95,0,360750,865050,357480,858911,52.704,9008,9008,9,9008,9008,52703750,47863.09883
96,0,335250,797050,325512,801212,145.91,12006,12006,12,12006,12006,145910000,86300.71427
97,0,332250,795500,330311,791349,29.558,12004,12004,12,12004,12004,29557500,31786.14357
